iter	Passed	Remaining
0	166	49750
1	170	25378
2	173	17223
3	176	13084
4	178	10554
5	181	8902
6	184	7736
7	187	6843
8	189	6128
9	192	5570
10	194	5105
11	196	4720
12	199	4400
13	201	4125
14	204	3879
15	206	3668
16	208	3473
17	210	3293
18	211	3134
19	214	2996
20	215	2867
21	217	2751
22	219	2645
23	221	2546
24	223	2453
25	224	2369
26	226	2289
27	228	2215
28	229	2146
29	231	2083
30	233	2023
31	234	1966
32	237	1919
33	239	1872
34	241	1824
35	242	1780
36	244	1739
37	246	1700
38	248	1660
39	250	1625
40	252	1593
41	254	1562
42	256	1531
43	258	1503
44	260	1478
45	262	1451
46	264	1424
47	266	1397
48	267	1371
49	269	1348
50	271	1327
51	273	1303
52	274	1279
53	275	1255
54	277	1234
55	278	1214
56	280	1193
57	281	1174
58	282	1155
59	285	1140
60	286	1121
61	287	1104
62	289	1089
63	291	1073
64	292	1057
65	293	1042
66	295	1027
67	296	1012
68	298	998
69	299	983
70	301	971
71	302	958
72	304	947
73	306	936
74	308	926
75	310	915
76	312	903
77	313	892
78	315	882
79	316	871
80	318	860
81	319	849
82	320	838
83	322	828
84	324	819
85	325	809
86	326	799
87	328	790
88	328	779
89	330	771
90	332	764
91	334	755
92	335	747
93	337	738
94	338	730
95	340	722
96	341	715
97	344	709
98	346	702
99	347	695
100	349	688
101	350	680
102	351	673
103	353	665
104	354	658
105	355	651
106	358	645
107	360	640
108	362	634
109	363	628
110	365	621
111	366	615
112	369	611
113	371	606
114	373	600
115	374	594
116	376	588
117	378	583
118	379	577
119	381	572
120	383	567
121	385	562
122	387	558
123	390	554
124	392	550
125	395	545
126	396	540
127	398	535
128	399	529
129	401	524
130	402	519
131	404	514
132	406	510
133	408	506
134	410	501
135	411	496
136	413	492
137	415	487
138	417	483
139	418	478
140	420	474
141	422	469
142	423	465
143	425	461
144	427	456
145	428	452
146	430	447
147	432	443
148	433	439
149	436	436
150	438	432
151	440	428
152	442	424
153	444	421
154	446	417
155	447	413
156	449	409
157	450	405
158	452	401
159	454	397
160	455	393
161	457	389
162	458	385
163	460	381
164	461	377
165	463	374
166	464	370
167	466	366
168	469	363
169	470	360
170	472	356
171	473	352
172	476	349
173	477	345
174	478	342
175	480	338
176	482	334
177	484	332
178	487	329
179	489	326
180	491	322
181	492	319
182	494	316
183	495	312
184	497	309
185	499	305
186	500	302
187	502	299
188	503	295
189	505	292
190	507	289
191	508	286
192	510	282
193	512	279
194	515	277
195	517	274
196	518	271
197	520	267
198	522	265
199	523	261
200	525	258
201	526	255
202	528	252
203	529	249
204	531	246
205	533	243
206	535	240
207	536	237
208	538	234
209	540	231
210	541	228
211	543	225
212	546	223
213	548	220
214	549	217
215	550	214
216	552	211
217	554	208
218	555	205
219	557	202
220	559	199
221	560	197
222	562	194
223	564	191
224	566	188
225	569	186
226	571	183
227	573	181
228	575	178
229	577	175
230	578	172
231	580	170
232	581	167
233	583	164
234	585	161
235	588	159
236	589	156
237	591	154
238	593	151
239	595	148
240	596	146
241	597	143
242	599	140
243	600	137
244	602	135
245	603	132
246	605	129
247	606	127
248	608	124
249	610	122
250	612	119
251	613	116
252	615	114
253	617	111
254	619	109
255	620	106
256	622	104
257	623	101
258	625	98
259	626	96
260	628	93
261	630	91
262	633	89
263	635	86
264	637	84
265	638	81
266	640	79
267	642	76
268	643	74
269	645	71
270	647	69
271	648	66
272	650	64
273	651	61
274	653	59
275	654	56
276	656	54
277	659	52
278	661	49
279	663	47
280	665	45
281	667	42
282	668	40
283	670	37
284	672	35
285	673	32
286	675	30
287	676	28
288	678	25
289	679	23
290	681	21
291	682	18
292	684	16
293	686	14
294	687	11
295	689	9
296	690	6
297	691	4
298	693	2
299	695	0
